ID,Ethnicity_Catagory,Ethnicity_Quest,Gender,Age,Age_Range,Wash_Freq of BB (# times per week),Wash_Range,Innie_or_outie,Country til age 12,ZIP code til age 12,Country ages 13-19,Zipcode ages 13-19,Current ZIPcode,Current City,Current State,Reads
CALS1008,non-Hispanic White,Caucasian,Male,Unknown,Unknown,7,7 days a week,Innie,USA,27587,USA,27587,,Wake Forest,NC,1000
CALS1016,non-Hispanic White,Caucasian,Female,Unknown,Unknown,7,7 days a week,Innie,USA,27596,USA,27616,,Wake Forest,NC,1000
YWL1084,non-Hispanic White,Caucasian,Female,37,36 to 74,Unknown,Unknown,innie,Unknown,Unknown,Unknown,Unknown,43123,Winston-Salem,NC,1000
YWL1035,non-Hispanic White,Caucasian,Female,25,19 to 35,0,None,innie,Unknown,Unknown,Unknown,Unknown,55404,Minneapolis,MN,1000
YWL1127,non-Hispanic White,Caucasian,Female,46,36 to 74,3,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,85710,Lufkin,TX,1000
YWL1015,non-Hispanic White,Caucasian,Male,26,19 to 35,1,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,32609,Gainesville,FL,1000
YWL1112,Unknown,Unknown,Female,41,36 to 74,Unknown,Unknown,innie,Unknown,Unknown,Unknown,Unknown,42104,Los Angeles,CA,1000
YWL1158,non-Hispanic White,Caucasian,Male,38,36 to 74,7,7 days a week,innie,Unknown,Unknown,Unknown,Unknown,21093,Berkeley,CA,1000
YWL1214,non-Hispanic White,Caucasian,Male,41,36 to 74,0,None,innie,Unknown,Unknown,Unknown,Unknown,96744,Brooklyn,NY,1000
YWL1248,non-Hispanic White,Caucasian,Female,1,0 to 7,Unknown,Unknown,innie,Unknown,Unknown,Unknown,Unknown,27607,Unknown,Unknown,1000
CALS1001,non-Hispanic White,Caucasian,Male,Unknown,Unknown,7,7 days a week,Innie,USA,27606,USA,27607,,Weaverville,NC,1000
CALS1009,non-Hispanic White,Caucasian,Male,Unknown,Unknown,0,none,Innie,USA,27587,USA,27587,,Wake Forest,NC,1000
YWL1120,non-Hispanic White,Caucasian,Female,52,36 to 74,3,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,unknown,tucson,AZ,1000
YWL1037,non-Hispanic White,Caucasian,Female,27,19 to 35,3,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,01852,Lowell,MA,1000
YWL1129,non-Hispanic White,Caucasian,Female,33,19 to 35,1.5,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,75835,Oxford,NC,1000
YWL1020,non-Hispanic White,Caucasian,Female,49,36 to 74,1,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,98136,Seattle,WA,1000
YWL1163,non-Hispanic White,Caucasian,Female,30,19 to 35,7,7 days a week,innie,Unknown,Unknown,Unknown,Unknown,55104,Marion,NC,1000
YWL1203,Unknown,Unknown,Female,32,19 to 35,0,None,innie,Unknown,Unknown,Unknown,Unknown,61615,Cambridge,MA,1000
YWL1217,non-Hispanic White,Caucasian,Male,30,19 to 35,3,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,94110,Woodbury,MN,1000
YWL1293,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1000
CALS1002,non-Hispanic White,Caucasian,Female,Unknown,Unknown,0,none,Innie,USA,27909,USA,27909,,Elizabeth City,NC,1000
CALS1010,non-Hispanic White,Caucasian,Male,Unknown,Unknown,0,none,Innie,USA,28270,USA,27587,,Wake Forest,NC,1000
YWL1048,non-Hispanic White,Caucasian,Female,47,36 to 74,Unknown,Unknown,innie,Unknown,Unknown,Unknown,Unknown,27244,Elon,NC,1000
YWL1154,non-Hispanic White,Caucasian,Female,58,36 to 74,1,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,97875,Lehi,UT,1000
YWL1057,non-Hispanic White,Caucasian,Female,Unknown,Unknown,0,None,innie,Unknown,Unknown,Unknown,Unknown,83709,Chicago,IL,1000
YWL1132,non-Hispanic White,Caucasian,Female,47,36 to 74,0,None,innie,Unknown,Unknown,Unknown,Unknown,27565,Austin,TX,1000
YWL1199,non-Hispanic White,Caucasian,Female,45,36 to 74,1,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,27217,Readville,MA,1000
YWL1175,Unknown,Unknown,Female,Unknown,Unknown,0,None,innie,Unknown,Unknown,Unknown,Unknown,24504,Livonia,MI,1000
YWL1218,non-Hispanic White,Caucasian,Female,15,8 to 18,0,None,innie,Unknown,Unknown,Unknown,Unknown,55125,Littleton ,CO,1000
YWL1044,Asian,Japanese,Female,55,36 to 74,0,None,innie,Unknown,Unknown,Unknown,Unknown,99163-2049,Pullman,WA,1000
CALS1003,non-Hispanic White,Caucasian,Male,Unknown,Unknown,0,none,Innie,USA,27020,USA,27020,,Raleigh,NC,1000
CALS1011,non-Hispanic White,Caucasian,Male,Unknown,Unknown,0,none,Innie,USA,27619,USA,27614,,Raleigh,NC,1000
YWL1051,non-Hispanic White,Caucasian,Female,49,36 to 74,Unknown,Unknown,innie,Unknown,Unknown,Unknown,Unknown,49242,Hillsdale,MI,1000
YWL1192,Indian,Indian,Female,39,36 to 74,3,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,94501,Scottsdale,AZ,1000
YWL1063,non-Hispanic White,Caucasian,Male,46,36 to 74,Unknown,Unknown,innie,Unknown,Unknown,Unknown,Unknown,80304,Seaside,CA,1000
YWL1133,non-Hispanic White,Caucasian,Female,26,19 to 35,0,None,innie,Unknown,Unknown,Unknown,Unknown,78759,Charlotte,NC ,1000
YWL1061,non-Hispanic White,Caucasian,Female,25,19 to 35,1,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,95126,Seattle,WA,1000
YWL1067,non-Hispanic White,Caucasian,Female,48,36 to 74,0,None,innie,Unknown,Unknown,Unknown,Unknown,943955-3215,Fairfax,VA,1000
YWL1178,non-Hispanic White,Caucasian,Female,29,19 to 35,4,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,48152,Bloomington,IN,1000
YWL1162,non-Hispanic White,Caucasian,Female,42,36 to 74,5,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,Unknown,Saint Paul,MN,1000
YWL1223,non-Hispanic White,Caucasian,Female,33,19 to 35,1,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,97213,Camarillo,CA,1000
YWL1107,non-Hispanic White,Caucasian,Female,26,19 to 35,0,None,innie,Unknown,Unknown,Unknown,Unknown,79015,San Marcos,TX,1000
CALS1004,non-Hispanic White,Caucasian,Male,Unknown,Unknown,7,7 days a week,Innie,USA,28431,USA,28431,,Chadbourn,NC,1000
YWL1071,non-Hispanic White,Caucasian,Female,50,36 to 74,1,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,40033,Ormond Beach ,FL,1000
YWL1215,non-Hispanic White,Caucasian/Jewish,Male,30,19 to 35,7,7 days a week,innie,Unknown,Unknown,Unknown,Unknown,Unknown,san francisco,CA,1000
YWL1077,non-Hispanic White,Caucasian,Female,50,36 to 74,0,None,innie,Unknown,Unknown,Unknown,Unknown,41017,Baltimore,MD,1000
YWL1150,Hispanic,Latino,Male,33,19 to 35,Unknown,Unknown,innie,Unknown,Unknown,Unknown,Unknown,28213,Manor,TX,1000
YWL1099,non-Hispanic White,Caucasian,Female,31,19 to 35,5.5,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,77098,Portland,OR,1000
YWL1070,non-Hispanic White,Caucasian,Male,24,19 to 35,1,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,22030,Lebanon,KY,1000
YWL1183,non-Hispanic White,Caucasian,Female,37,36 to 74,7,7 days a week,innie,Unknown,Unknown,Unknown,Unknown,47401,Belleville,MI,1000
YWL1167,non-Hispanic White,Caucasian,Female,41,36 to 74,0,None,innie,Unknown,Unknown,Unknown,Unknown,28752,Lynchburg,VA,1000
YWL1226,non-Hispanic White,Caucasian,Female,28,19 to 35,1,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,93012,Aubertin,France,1000
CALS1005,non-Hispanic White,Caucasian,Female,Unknown,Unknown,4,Less than 7,Innie,USA,28716,USA,28716,,Canton,NC,1000
CALS1013,non-Hispanic White,Caucasian,Female,Unknown,Unknown,1.5,Less than 7,Innie,USA,23464,USA,23464,,HertFord,NC,1000
CALS1022,Hispanic,Latino,Female,Unknown,Unknown,7,7 days a week,Innie,USA,90277,USA,90277,,Manhattan Beach,CA,1000
YWL1013,non-Hispanic White,Caucasian,Male,56,36 to 74,1.5,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,27410,Greensboro,NC,1000
YWL1081,non-Hispanic White,Caucasian,Male,29,19 to 35,Unknown,Unknown,innie,Unknown,Unknown,Unknown,Unknown,32608,Grove City,OH,1000
YWL1193,non-Hispanic White,Caucasian,Female,58,36 to 74,1,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,Unknown,St. Peters,MO,1000
YWL1101,non-Hispanic White,Caucasian,Female,36,36 to 74,Unknown,Unknown,innie,Unknown,Unknown,Unknown,Unknown,97217,Skokie,IL,1000
YWL1072,non-Hispanic White,Caucasian,Female,27,19 to 35,0,None,innie,Unknown,Unknown,Unknown,Unknown,32174,Endwell,NY,1000
YWL1186,non-Hispanic White,Caucasian,Female,51,36 to 74,Unknown,Unknown,outie,Unknown,Unknown,Unknown,Unknown,48111,Alameda,CA,1000
YWL1205,non-Hispanic White,Caucasian,Female,30,19 to 35,6,Less than 7,innie,Unknown,Unknown,Unknown,Unknown,02139,Garrison,NY,1000
YWL1228,non-Hispanic White,Caucasian,Female,33,19 to 35,0,None,innie,Unknown,Unknown,Unknown,Unknown,64290,Vienna,Austria,1000
YWL1043,non-Hispanic White,Caucasian,Male,58,36 to 74,7,7 days a week,innie,Unknown,Unknown,Unknown,Unknown,27572,Rougemont,NC,1000
CALS1006,non-Hispanic White,Caucasian,Female,Unknown,Unknown,7,7 days a week,Innie,USA,20034,USA,20034,,Statesville,NC,1000
CALS1014,non-Hispanic White,Caucasian,Male,Unknown,Unknown,6,Less than 7,Outie,USA,28403,Unknown,Unknown,,Wilmington,NC,1000
CALS1023,non-Hispanic White,Caucasian,Female,Unknown,Unknown,1,Less than 7,Innie,USA,93535,USA,28428,,Wilmington,NC,1000
