city,Cloudiness,country,Date,Humidity,lat,lon,Max Temp,Wind Speed
port elizabeth,90.0,za,2018-03-02 06:13:00,93.0,-88.96,36.55,48.2,3.36
cayenne,75.0,gf,2018-03-02 06:00:00,94.0,7.33,-48.90,75.2,5.82
bluff,12.0,nz,2018-03-02 06:39:11,73.0,-63.66,172.05,89.62,4.21
kilindoni,92.0,tz,2018-03-02 06:39:11,100.0,-7.03,42.80,80.84,4.21
havre-saint-pierre,90.0,ca,2018-03-02 06:00:00,85.0,51.11,-62.38,23,9.17
touros,68.0,br,2018-03-02 06:39:12,100.0,-2.03,-33.84,74.59,5.99
jamestown,44.0,sh,2018-03-02 06:39:09,66.0,-22.62,0.99,77.02,1.74
villa maria,75.0,ar,2018-03-02 06:00:00,87.0,-31.64,-63.10,53.6,6.93
payson,1.0,us,2018-03-02 06:15:00,64.0,34.06,-110.95,37.4,18.34
butaritari,56.0,ki,2018-03-02 06:32:15,100.0,3.78,171.14,82.73,7.67
upernavik,92.0,gl,2018-03-02 06:39:03,90.0,71.57,-60.08,32.24,38.54
ovsyanka,0.0,ru,2018-03-02 06:39:13,32.0,53.17,126.97,14.92,3.76
puerto ayora,80.0,ec,2018-03-02 06:39:06,100.0,1.39,-99.64,78.82,5.44
cabo san lucas,5.0,mx,2018-03-02 05:46:00,59.0,9.69,-123.06,60.8,5.82
skjervoy,75.0,no,2018-03-02 06:20:00,92.0,72.45,20.97,30.2,13.49
lat yao,0.0,th,2018-03-02 06:39:14,54.0,15.41,98.96,90.83,3.42
sitka,0.0,us,2018-03-02 06:39:15,56.0,54.44,-140.33,36.07,10.58
alofi,88.0,nu,2018-03-02 06:00:00,83.0,-26.19,-167.98,80.6,1.12
port alfred,92.0,za,2018-03-02 06:39:16,100.0,-78.39,40.89,65.86,3.98
camacupa,68.0,ao,2018-03-02 06:39:16,66.0,-12.59,18.38,64.73,8.79
kloulklubed,90.0,pw,2018-03-02 05:55:00,49.0,5.71,133.71,89.6,6.93
mataura,68.0,pf,2018-03-02 06:37:59,75.0,-76.74,-155.30,71.03,9.46
fortuna,0.0,us,2018-03-02 06:30:00,66.0,38.44,-131.35,51.8,10.29
yarada,0.0,in,2018-03-02 06:40:18,99.0,15.80,84.22,80.44,7
dubti,64.0,et,2018-03-02 06:40:18,55.0,12.26,41.36,75.89,7.78
avarua,40.0,ck,2018-03-02 06:00:00,78.0,-68.85,-165.03,82.4,10.29
mariental,0.0,na,2018-03-02 06:20:00,72.0,-24.39,17.63,10.4,11.41
fazilka,24.0,in,2018-03-02 06:40:20,89.0,30.47,73.92,69.28,6.22
atuona,64.0,pf,2018-03-02 06:36:30,97.0,5.14,-136.60,82.01,18.07
vaini,0.0,to,2018-03-02 06:40:20,28.0,-35.58,-167.59,89.66,4.32
port alfred,92.0,za,2018-03-02 06:39:16,100.0,-70.15,40.59,65.86,3.98
